,2月16日,2月17日,2月18日,2月19日,2月20日,2月21日
,除夕,初一,初二,初三,初四,初五
中正,09:00~18:00,公休,公休,公休,公休,恢復正常營業
中華,09:00~18:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,恢復正常營業
新和,09:00~18:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,恢復正常營業
中港,09:00~18:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,恢復正常營業
北大,09:00~18:00,公休,公休,公休,公休,恢復正常營業
龍安,09:00~18:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,恢復正常營業
泰山,09:00~18:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,恢復正常營業
明志,09:00~18:00,公休,公休,公休,公休,恢復正常營業
淡水,09:00~18:00,公休,公休,公休,公休,恢復正常營業
五股,09:00~18:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,恢復正常營業
康寧,09:00~18:00,公休,公休,公休,公休,恢復正常營業
內湖,09:00~18:00,公休,公休,公休,公休,恢復正常營業
九芎,09:00~18:00,公休,公休,公休,公休,恢復正常營業
成泰,09:00~18:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,恢復正常營業
長榮,09:00~18:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,恢復正常營業
仁愛,09:00~18:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,恢復正常營業
